{X Pos (cm)}		{Y Pos (cm)}		{Time (ms)}		{Angle (degrees)}		{Distance (cm)}
48.3586 			57.3275 			46320 			40.15 					75 
51.3064 			38.2578 			47929 			53.29 					64 
87.9626 			2.5668 				51349 			88.33 					88 
{}					{}					{}				{}						{}
17.1468  			102.5768  			63406  			9.49  					104 
26.5408  			71.2151  			776  			20.44  					76 
47.3202  			44.5623  			2164  			46.72  					65 
{}					{}					{}				{}						{}
20.8553  			84.4634  			15583  			13.87  					87 
26.3625  			68.0736  			17299  			21.17  					73 
43.1631  			48.5999  			18253  			41.61  					65 
{}					{}					{}				{}						{}
14.388   			101.9901  			29799  			8.03  					103 
25.4931  			68.404  			32726  			20.44 					73 
35.8006  			55.4465  			33328  			32.85 					66 
{}					{}					{}				{}						{}
14.2483  			100.9999 			45249  			8.03   					102 
30.1071  			60.9718  			48442  			26.28  					68 
39.3666  			50.4606  			49336  			37.96  					64 
{}					{}					{}				{}						{}
37.218  			59.2859  			4832  			32.12  					70 
70.4847 			22.5368  			6898  			72.27  					74 
93.8378 			14.8144  			7878  			81.03  					95
{}					{}					{}				{}						{}
86.5439  			66.2657 			19809  			52.56  					109 
78.0802  			42.714  			20688  			61.32  					89 
71.1404  			23.7497 			21661  			71.54  					75 
{}					{}					{}				{}						{}
79.8889  			69.669   			30681  			48.91   				106 
76.3909  			45.6665  			31386  			59.13   				89 
69.8098  			21.3446  			32362  			73  					73 
{}					{}					{}				{}						{}
77.7872  			64.4217  			42789  			50.37  					101 
73.5073  			42.681   			43488  			59.86  					85 
68.907   			26.9782  			44178  			68.62  					74 
{}					{}					{}				{}						{}
-52.6999  			-93.1221  			56127  			209.51  				107 
-54.9644  			-66.1431  			57006  			219.73  				86 
-57.1881  			-36.7902  			58085  			237.25  				68 
{}					{}					{}				{}						{}
