{X Pos (cm)}		{Y Pos (cm)}		{Time (ms)}		{Angle (degrees)}		{Length (cm)}
 15.8212  64.0756  14142  13.87  66 
 91.8435  24.2854  15702  75.19  95 
 57.8956  -3.4786  18787  93.44  58 
{}					{}					{}				{}						{}
 21.9755  69.6138  35994  17.52  73 
 32.0794  48.3209  36640  33.58  58 
 51.2495  44.6933  37333  48.91  68 
{}					{}					{}				{}						{}
 -27.1528  89.9929  48143  -16.79  94 
 5.7277  74.781  48935  4.38  75 
 32.4329  51.6634  49795  32.12  61 
{}					{}					{}				{}						{}
 -45.7169  95.6345  58631  -25.55  106 
 -12.1835  79.0668  59511  -8.76  80 
 38.0681  51.4472  60694  36.5  64 
{}					{}					{}				{}						{}
 -24.451  99.026  5357  -13.87  102 
 -5.8041  75.778  6243  -4.38  76 
 20.2548  54.3484  6987  20.44  58 
{}					{}					{}				{}						{}
 27.9377  74.9632  39313  20.44  80 
 42.5404  49.1458  39984  40.88  65 
 57.9411  33.6427  40680  59.86  67 
{}					{}					{}				{}						{}
 24.8511  90.6555  51208  15.33  94 
 29.6643  60.0752  52273  26.28  67 
 49.4473  32.1863  52879  56.94  59
{}					{}					{}				{}						{}
 17.6125  85.1986  1410  11.68  87 
 48.4755  54.5814  2198  41.61  73 
 55.6819  37.263  3080  56.21  67
{}					{}					{}				{}						{}
 12.0133  85.1568  14674  8.03  86 
 35.6954  60.2149  15479  30.66  70 
 46.436  49.6759  16174  43.07  68 
{}					{}					{}				{}						{}
 34.7157  53.7663  28715  32.85  64 
 46.284  47.0509  29315  44.53  66 
 51.1065  -20.3255  36961  111.69  55 
{}					{}					{}				{}						{}
