{V1 X} 				{V1 Y}   	{V1 Length}     							{V2 X}    			{V2 Y}	 {V2 Length}
{(cm/ms)}			 {(cm/ms)}	{(cm/ms)}									{(cm/ms)}			{(cm/ms)}{(cm/ms)}
0.002                 -0.012      0.012                                    0.011                    -0.010  0.015
0.003                 -0.011      0.011                                    0.015                    -0.019  0.024
0.003                 -0.010      0.010                                    0.018                    -0.020  0.027
0.004                 -0.011      0.012                                    0.017                    -0.021  0.027
0.005                 -0.013      0.014                                    0.010                    -0.012  0.016
0.016                 -0.018      0.024                                    0.024                    -0.008  0.025
0.046                 -0.019      0.050                                   -0.007                    -0.019  0.020
-0.005                -0.034      0.034                                   -0.007                    -0.025  0.026
-0.006                -0.031      0.032                                   -0.007                    -0.023  0.024
-0.151                -0.148      0.211                                   -0.002                     0.027  0.027
