{V1 X }				 {V1 Y }   				{V1 Length }     		{V2 X}    					{V2 Y} 		{V2 Length}
{(cm/ms)}			 {(cm/ms)}				{(cm/ms)}				{(cm/ms)}					{(cm/ms)}			{(cm/ms)}
0.049                 -0.026                  0.055                   -0.008                    -0.007              0.010 
0.017                 -0.032                  0.036                    0.028                    -0.005              0.028
0.042                 -0.019                  0.046                    0.031                    -0.027              0.041
0.038                 -0.019                  0.042                    0.042                    -0.023              0.048
0.021                 -0.026                  0.033                    0.035                    -0.029              0.045
0.022                 -0.038                  0.044                    0.022                    -0.022              0.031
0.005                 -0.029                  0.029                    0.032                    -0.046              0.056
0.039                 -0.039                  0.055                    0.008                    -0.020              0.022
0.029                 -0.031                  0.042                    0.015                    -0.015              0.021
0.019                 -0.011                  0.021                    0.001                    -0.009              0.009
